Brand,Model,Year,Selling_Price,KM_Driven,Fuel,Seller_Type,Transmission,Owner
18,0,2007,60000,70000,0,0,0,0
18,1,2007,135000,50000,0,0,0,0
10,2,2012,600000,100000,1,0,0,0
5,3,2017,250000,46000,0,0,0,0
9,4,2014,450000,141000,1,0,0,1
18,5,2007,140000,125000,0,0,0,0
10,6,2016,550000,25000,0,0,0,0
25,7,2014,240000,60000,0,0,0,1
10,8,2015,850000,25000,0,0,0,0
18,9,2017,365000,78000,2,0,0,0
3,10,2015,260000,35000,0,0,0,0
25,7,2014,250000,100000,0,0,0,0
26,11,2018,1650000,25000,0,1,1,0
18,0,2007,60000,70000,0,0,0,0
18,1,2007,135000,50000,0,0,0,0
10,2,2012,600000,100000,1,0,0,0
5,3,2017,250000,46000,0,0,0,0
9,4,2014,450000,141000,1,0,0,1
18,5,2007,140000,125000,0,0,0,0
10,6,2016,550000,25000,0,0,0,0
25,7,2014,240000,60000,0,0,0,1
10,8,2015,850000,25000,0,0,0,0
18,9,2017,365000,78000,2,0,0,0
3,10,2015,260000,35000,0,0,0,0
25,7,2014,250000,100000,0,0,0,0
26,11,2018,1650000,25000,0,1,1,0
18,12,2015,585000,24000,0,1,0,0
10,13,2019,1195000,5000,1,1,0,0
3,14,2013,390000,33000,1,0,0,1
12,15,2014,1964999,28000,1,1,1,0
19,16,2013,1425000,59000,1,1,1,0
18,17,2018,975000,4500,1,1,1,0
1,18,2011,1190000,175900,1,1,1,0
9,19,2018,930000,14500,0,1,0,0
25,20,2018,525000,15000,0,0,0,0
1,21,2013,1735000,50000,1,1,1,0
19,22,2012,1375000,33800,1,1,1,1
24,23,2011,450000,130400,1,1,1,1
26,24,2016,900000,50000,0,0,1,0
26,25,2015,1300000,80000,1,0,0,0
13,26,2019,1400000,10000,0,0,0,0
19,27,2010,850000,119000,0,1,1,0
10,28,2014,229999,60000,0,0,0,3
2,29,2013,1550000,75800,1,1,1,1
1,30,2009,1250000,78000,1,1,1,2
10,31,2012,625000,40000,1,0,0,0
17,32,2014,1050000,50000,1,0,0,0
9,33,2014,560000,74000,1,0,0,1
18,34,2014,290000,64000,0,0,0,1
18,35,2012,275000,60000,0,0,0,1
17,36,2009,411000,120000,1,0,0,1
10,37,2009,150000,79000,0,0,0,2
10,38,2019,500000,15000,0,0,0,0
18,39,2006,100000,80000,0,0,0,0
18,40,2017,725000,18500,1,1,0,0
18,41,2018,401000,10200,0,1,0,0
10,42,2018,750000,29000,1,1,0,0
18,43,2018,310000,28000,0,1,0,0
18,44,2016,665000,46000,1,1,0,0
10,45,2014,465000,70000,1,1,0,0
18,39,2012,160000,60000,0,0,0,1
17,46,1996,250000,35000,1,0,0,1
9,47,2014,675000,90000,1,1,0,0
18,35,2013,300000,80000,0,1,0,0
25,48,2005,70000,80000,1,0,0,0
10,49,2014,240000,73300,0,1,0,1
26,50,2014,525000,92000,1,1,0,0
18,39,2009,151000,66764,0,1,0,1
18,39,2009,140000,100000,0,0,0,0
3,51,2010,280000,350000,1,0,0,1
26,52,2011,350000,230000,1,0,0,0
17,53,2017,570000,60000,1,0,0,0
10,49,2018,300000,31000,0,0,0,0
25,54,2007,100000,39000,1,0,0,0
26,55,2009,500000,120000,1,0,0,2
25,56,2014,125000,166000,1,0,0,3
18,57,2006,130000,110000,0,0,0,2
8,58,2017,925000,35000,1,0,0,0
18,59,2018,750000,60000,1,0,0,0
9,60,2007,200000,54000,0,0,1,1
10,61,2010,248000,63000,0,0,0,1
24,62,2014,450000,120000,1,0,0,1
10,63,2005,80000,120000,0,0,0,2
21,64,2014,650000,76000,0,0,0,1
10,65,2015,450000,80000,1,0,0,0
10,66,2019,650000,25000,1,0,0,0
9,67,2016,495000,11958,0,1,0,0
9,68,2015,371000,20000,0,1,0,0
10,69,2017,1025000,9000,0,1,0,0
19,70,2017,8150000,6500,1,1,1,0
17,71,2015,750000,70000,1,0,0,0
23,72,2013,600000,120000,1,0,0,0
10,73,2007,80000,58000,0,1,0,1
17,74,2013,325000,62200,1,1,0,0
1,75,2014,1470000,34000,1,1,1,1
6,76,2015,350000,53000,1,0,0,1
1,77,2013,2800000,49000,1,1,1,0
5,78,2017,210000,15000,0,1,0,1
27,79,2013,450000,50000,0,0,0,0
1,80,2013,1150000,53000,1,1,1,0
9,60,2009,210000,63500,0,1,1,0
19,81,2018,4500000,9800,0,1,1,0
2,82,2017,2750000,13000,1,0,1,0
28,83,2018,1975000,21000,1,1,1,0
18,84,2008,175000,29173,0,1,0,0
2,85,2012,2500000,48000,1,1,1,0
17,86,2017,628000,120000,1,0,0,0
10,87,2010,600000,100000,1,0,0,0
21,88,2017,399000,30000,0,0,0,0
17,89,2018,750000,87000,1,0,0,0
10,90,2019,750000,15000,0,0,0,0
23,91,2017,315000,16000,0,0,0,0
17,92,2012,600000,60000,1,0,0,0
18,1,2010,100000,60000,0,0,0,3
18,93,2011,250000,110000,0,0,0,2
23,91,2017,350000,25000,0,0,0,0
10,94,2016,780000,60000,1,0,0,0
18,95,2014,434000,79350,1,0,0,1
10,96,2016,690000,80000,0,0,1,0
17,97,2014,555000,90000,1,0,0,1
18,98,2007,120000,90000,0,0,0,1
18,99,2014,500000,120000,1,0,0,1
3,100,2013,165000,60000,1,0,0,1
18,101,2004,95000,50000,0,0,0,0
18,102,2018,550000,20000,0,0,0,0
18,103,2007,100000,110000,1,0,0,3
25,104,2012,100000,50000,0,0,0,1
26,105,2012,500000,100000,1,0,0,0
18,106,2016,800000,70000,1,0,0,1
10,107,2016,840000,70000,1,0,0,1
9,108,2016,490000,50000,0,0,0,0
25,109,2010,125000,81000,1,0,0,1
3,110,2012,400000,120000,1,0,0,2
3,111,2015,1000000,3600,1,1,0,0
8,112,2015,530000,14272,0,1,0,0
8,113,2017,840000,49213,1,1,0,0
10,114,2015,229999,40000,0,0,0,0
18,115,1998,40000,40000,0,0,0,3
3,116,2012,130000,80000,0,0,0,0
10,117,2015,200000,70000,0,0,0,0
25,118,2011,120000,70000,1,0,0,0
10,119,2003,75000,57000,0,0,0,0
25,120,2016,250000,120000,1,0,0,0
18,121,2005,100000,30000,0,0,0,0
10,117,2013,280000,3240,0,0,0,1
10,122,2015,540000,5000,0,0,0,0
10,123,2018,700000,10000,0,0,0,0
18,124,2015,525000,100000,1,0,0,0
10,125,2016,430000,80000,1,0,0,0
10,126,2002,65000,70000,0,0,0,0
18,127,2018,800000,35000,1,0,0,0
10,128,2007,75000,114000,0,0,0,1
10,129,2008,210000,53772,0,0,0,0
17,130,2012,195000,140000,1,0,0,1
3,131,2015,400000,120000,1,0,0,0
10,49,2012,170000,60000,0,0,0,0
23,91,2016,225000,25000,0,0,0,0
18,132,2014,210000,90000,4,0,0,0
18,133,2020,240000,120000,0,0,0,0
3,134,2015,300000,175000,1,0,0,0
3,116,2011,99000,100000,0,0,0,2
9,135,2014,620000,36000,0,0,0,0
9,4,2013,500000,30000,1,0,0,0
12,136,2010,2550000,40000,0,0,1,1
9,137,2013,260000,70000,0,0,0,1
18,138,2017,550000,60000,0,0,0,0
25,139,2011,150000,155500,1,0,0,0
10,140,2011,350000,50000,0,0,1,1
3,141,2016,320000,40000,0,0,0,0
18,142,2015,400000,100000,1,0,0,2
18,39,2012,175000,80000,0,0,0,2
3,141,2011,120000,90000,0,0,0,1
23,143,2013,320000,90000,1,0,0,1
10,144,2006,70000,110000,0,0,0,2
18,145,2019,810000,15000,0,0,0,0
18,0,2007,95000,100000,0,0,0,1
18,146,2020,282000,40000,2,0,0,0
18,147,2004,80000,60000,0,0,0,1
25,148,2013,72000,25000,0,0,0,0
10,122,2016,600000,25000,0,0,0,0
24,149,2015,640000,23000,0,0,0,0
18,150,2018,380000,22155,0,0,0,0
18,151,2018,650000,70000,0,0,0,0
18,152,2009,150000,60000,0,0,0,1
10,153,2009,280000,110000,0,0,0,1
25,154,2018,430000,30000,0,0,0,0
17,86,2019,800000,15000,1,0,0,0
18,155,2003,75000,100000,1,0,0,1
27,156,2016,650000,70000,1,0,1,0
18,157,2017,390000,24000,0,0,0,0
9,158,2005,100000,120000,0,0,0,1
19,16,2013,1500000,35000,1,0,1,0
18,159,2007,175000,78380,0,0,0,0
23,143,2012,434999,110000,1,0,0,1
8,160,2010,170000,90000,1,0,0,2
8,160,2011,190000,90000,1,0,0,2
18,161,2009,250000,150000,1,0,0,2
17,162,2009,229999,230000,1,0,0,2
18,163,2006,140000,70000,0,0,0,2
18,142,2017,600000,80362,1,0,0,0
10,164,2012,280000,110000,0,0,0,2
3,165,2012,150000,60000,1,0,0,0
3,166,2015,650000,50000,1,0,1,0
21,167,2014,210000,40000,0,0,0,1
2,168,2017,2900000,40000,1,0,1,0
3,134,2013,425000,20000,1,1,0,0
10,169,2014,265000,55000,0,1,0,0
6,170,2018,890000,1136,0,1,0,0
23,171,2013,365000,55000,0,1,0,0
8,172,2014,350000,43000,0,1,0,0
18,173,2016,685000,60000,1,0,0,0
24,174,2018,940000,2650,1,1,0,0
17,175,2017,1000000,40000,1,0,0,0
17,176,2019,1150000,15000,0,1,0,0
18,177,2016,450000,115962,1,0,0,1
21,178,2015,590000,65000,1,1,0,0
18,179,2017,800000,40000,1,0,0,0
10,180,2012,385000,58000,1,1,0,0
19,181,2013,2000000,15000,1,0,1,0
10,117,2012,235000,54000,0,1,0,0
27,182,2017,640000,56000,1,1,0,0
18,152,2006,52000,120000,0,0,0,2
18,183,2009,80000,90000,4,0,0,1
18,152,2012,140000,70000,0,0,0,1
10,184,2008,120000,90000,0,0,0,1
17,185,2008,89999,213000,1,0,0,0
3,186,2012,180000,120000,1,0,0,0
17,187,2017,1500000,20000,1,0,0,0
10,188,2017,700000,10000,0,0,0,0
18,189,2012,285000,80000,1,0,0,1
10,190,2015,390000,90000,0,0,0,0
18,191,2008,125000,80000,0,0,0,0
18,159,2008,225000,60000,0,0,0,1
10,192,2011,175000,139000,0,0,0,1
26,193,2011,1075000,160000,1,0,0,1
9,194,2014,300000,150000,1,0,0,0
26,195,2010,700000,163000,1,0,0,3
25,196,2009,90000,120000,1,1,0,0
25,197,2011,120000,120000,1,0,0,1
3,198,2012,220000,100000,1,0,0,1
25,199,2015,300000,140000,1,1,0,0
24,200,2010,180000,87000,1,1,0,1
18,115,2013,170000,70000,0,0,0,0
8,172,2015,300000,50000,0,0,0,1
26,201,2014,1050000,70000,1,0,0,0
9,194,2014,300000,150000,1,0,0,0
10,202,2018,465000,25000,1,0,0,0
3,165,2011,130000,80000,1,0,0,1
5,203,2018,434999,10000,0,0,0,0
10,38,2018,500000,32000,0,0,0,0
18,204,2018,200000,10000,0,0,0,0
18,205,2017,625000,52000,0,1,0,0
8,206,2006,110000,120000,1,0,0,2
10,207,2019,800000,11240,0,0,0,0
10,208,2017,490000,66000,1,1,0,0
18,177,2017,880000,64000,1,1,0,0
10,209,2013,290000,49000,0,0,0,0
25,210,2006,115999,100000,1,0,0,1
23,91,2018,360000,26500,0,0,0,0
18,0,2002,65000,100000,0,0,0,1
18,211,2017,685000,72000,1,1,0,0
9,212,2009,300000,50000,0,0,0,0
10,213,2017,680000,44000,1,1,0,0
18,214,2017,1000000,60000,1,0,0,1
